"57","Weak-lensing Analysis of X-Ray-selected XXL Galaxy Groups and Clusters with Subaru HSC Data","Umetsu Keiichi, Sereno Mauro, Lieu Maggie, Miyatake Hironao, Medezinski Elinor, Nishizawa Atsushi J., Giles Paul, et. al","ASTROPHYSICAL JOURNAL","890, 2","2020","02","https://doi.org/10.3847/1538-4357/ab6bca"
"58","Constraining dark matter annihilation with HSC low surface brightness galaxies","Hashimoto Daiki, Macias Oscar, Nishizawa Atsushi J., Hayashi Kohei, Takada Masahiro, Shirasaki Masato, Ando Shin'ichiro","JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS","1","2020","01","https://doi.org/10.1088/1475-7516/2020/01/059"
"59","Redshift Evolution of Green Valley Galaxies in Different Environments from the Hyper Suprime-Cam Survey","Jian Hung-Yu, Lin Lihwai, Koyama Yusei, Tanaka Ichi, Umetsu Keiichi, Hsieh Bau-Ching, Higuchi Yuichi, et. al","ASTROPHYSICAL JOURNAL","894, 2","2020","05","https://doi.org/10.3847/1538-4357/ab86a8"
"60","The Alcock Paczynski test with voids in 21 cm intensity field","Endo Takao, Tashiro Hiroyuki, Nishizawa Atsushi J.","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","499, 1, 587-596","2020","11","https://doi.org/10.1093/mnras/staa2822"
"61","Weak lensing measurement of filamentary structure with the SDSS BOSS and Subaru Hyper Suprime-Cam data","Kondo Hiroto, Miyatake Hironao, Shirasaki Masato, Sugiyama Naoshi, Nishizawa Atsushi J.","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","495, 4, 3695-3704","2020","07","https://doi.org/10.1093/mnras/staa1390"
"62","Some homological properties of tensor and wreath products of quasi-hereditary algebras","Aaron CHAN","Communication in Algebras","42, 6, 2368-2379","2014","02",""
"63","Simple-minded systems, configurations and mutations for representation-finite self-injective algebras","Aaron CHAN, Steffen KOENIG, Yuming LIU","Journal of Pure and Applied Algebra","219, 6, 1940-1961","2014","08",""
"64","Two-term tilting complexes and simple-minded systems of self-injective Nakayama algebras","Aaron CHAN","Algebra and Representation theory","18, 1, 183-203","2014","06",""
"66","Diagrams and discrete extensions for finitary 2-representations","Aaron CHAN, Volodymyr MAZORCHUK","arXiv preprint","1-30","2016","01",""
"67","On representation-finite gendo-symmetric biserial algebras","Aaron CHAN, Rene MARCZINZIK","arXiv preprint","1-28","2016","07",""
"68","Auslander-Gorenstein algebras from Serre-formal algebras via replication","Chan Aaron, Iyama Osamu, Marczinzik Rene","ADVANCES IN MATHEMATICS","345, 222-262","2019","03","https://doi.org/10.1016/j.aim.2019.01.010"
"69","Classification of two-term tilting complexes over Brauer graph algebras","Adachi Takahide, Aihara Takuma, Chan Aaron","MATHEMATISCHE ZEITSCHRIFT","290, 1-2, 1-36","2018","10","https://doi.org/10.1007/s00209-017-2006-9"
"70","On Representation-Finite Gendo-Symmetric Biserial Algebras","Chan Aaron, Marczinzik Rene","ALGEBRAS AND REPRESENTATION THEORY","22, 1, 141-176","2019","02","https://doi.org/10.1007/s10468-017-9760-6"
"71","Preparation of carbamate-containing vaterite particles for strontium removal in wastewater treatment","Nakamura Jin, Kasuga Toshihiro, Sakka Yoshio","JOURNAL OF ASIAN CERAMIC SOCIETIES","5, 3, 364-369","2017","09","https://doi.org/10.1016/j.jascer.2017.06.011"
"72","Emerging Atomic Energy Levels in Zero-Dimensional Silicon Quantum Dots","Shirahata Naoto, Nakamura Jin, Inoue Jun-ichi, Ghosh Batu, Nemoto Kazuhiro, Nemoto Yoshihiro, Takeguchi Masaki, et. al","NANO LETTERS","20, 3, 1491-1498","2020","03","https://doi.org/10.1021/acs.nanolett.9b03157"
"73","Hydroxyapatite Formation from Octacalcium Phosphate and Its Related Compounds: A Discussion of the Transformation Mechanism","Yokoi Taishi, Goto Tomoyo, Kato Takeharu, Takahashi Seiji, Nakamura Jin, Sekino Tohru, Ohtsuki Chikara, et. al","BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN","93, 5, 701-707","2020","05","https://doi.org/10.1246/bcsj.20200031"
"74","Rheology of Dispersions of High-Aspect-Ratio Nanofibers Assembled from Elastin-Like Double-Hydrophobic Polypeptides","Sugawara-Narutaki Ayae, Yasunaga Sawako, Sugioka Yusuke, Le Duc H. T., Kitamura Issei, Nakamura Jin, Ohtsuki Chikara","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","20, 24","2019","12","https://doi.org/10.3390/ijms20246262"
"75","Ring-Like Assembly of Silica Nanospheres in the Presence of Amphiphilic Block Copolymer: Effects of Particle Size","Atsumi Chisato, Araoka Shintaro, Landenberger Kira B., Kanazawa Arihiro, Nakamura Jin, Ohtsuki Chikara, Aoshima Sadahito, et. al","LANGMUIR","34, 26, 7751-7758","2018","07","https://doi.org/10.1021/acs.langmuir.8b00420"
"76","Tearable and Fillable Composite Sponges Capable of Heat Generation and Drug Release in Response to Alternating Magnetic Field","Hayashi Koichiro, Tokuda Atsuto, Nakamura Jin, Sugawara-Narutaki Ayae, Ohtsuki Chikara","MATERIALS","13, 16","2020","08","https://doi.org/10.3390/ma13163637"
"77","ToF-SIMS evaluation of calcium-containing silica/γ-PGA hybrid systems for bone regeneration","Jin Nakamura","Applied Surface Science","","2014","08","https://doi.org/10.1016/j.apsusc.2014.05.016"
"78","Cotton-wool-like bioactive glasses for bone regeneration","Jin Nakamura","Acta Biomaterialia","","2014","08","https://doi.org/10.1016/j.actbio.2014.05.020"
"79","Preparation of siloxane-containing vaterite doped with magnesium","Jin Nakamura","Journal of the Ceramic Society of Japan","","2014","","https://doi.org/10.2109/jcersj2.122.1010"
"80","Enhancement of crystalline plane orientation in silsesquioxane-containing vaterite particles towards tuning of calcium ion release","Jin Nakamura","Journal of Materials Chemistry B","","2014","","https://doi.org/10.1039/c3tb21571g"
"81","Preparation of electrospun fiber mats using siloxane-containing vaterite and biodegradable polymer hybrids for bone regeneration","Jin Nakamura","Journal of Biomedical Materials Research Part B: Applied Biomaterials","","2013","11","https://doi.org/10.1002/jbm.b.32952"
"82","Preparation of siloxane-containing vaterite particles with red-blood-cell-like morphologies and incorporation of calcium-salt polylactide for bone regenerative medicine","Jin Nakamura","Journal of the Ceramic Society of Japan","","2013","","https://doi.org/10.2109/jcersj2.121.792"
"83","Tracking the formation of vaterite particles containing aminopropyl-functionalized silsesquioxane and their structure for bone regenerative medicine","Jin Nakamura","Journal of Materials Chemistry B","","2013","","https://doi.org/10.1039/c3tb20589d"
"84","Induction of hydroxycarbonate apatite formation on polyethylene or alumina substrates by spherical vaterite particles deposition","Jin Nakamura","Materials Science and Engineering: C","","2012","10","https://doi.org/10.1016/j.msec.2012.05.028"
"85","Preparation of siloxane-containing vaterite/poly (L-lactic acid) hybrid microbeads with silicate and calcium ions-releasing ability","Jin Nakamura","Journal of the Ceramic Society of Japan","","2010","","https://doi.org/10.2109/jcersj2.118.541"
"86","Near Infrared Photoimmunotherapy in a Transgenic Mouse Model of Spontaneous Epidermal Growth Factor Receptor (EGFR)-expressing Lung Cancer.","Nakamura Y, Ohler ZW, Householder D, Nagaya T, Sato K, Okuyama S, Ogata F, et. al","Mol Cancer Ther. ","","2017","02","https://doi.org/10.1158/1535-7163.MCT-16-0663. "
"87","Immunogenic cancer cell death selectively induced by near infrared photoimmunotherapy initiates host tumor immunity.","Ogawa M, Tomita Y, Nakamura Y, Lee MJ, Lee S, Tomita S, Nagaya T, et. al","Oncotarget","","2017","02","https://doi.org/10.18632/oncotarget.14425."
"88","Evaluation of Early Therapeutic Effects after Near-Infrared Photoimmunotherapy (NIR-PIT) Using Luciferase-Luciferin Photon-Counting and Fluorescence Imaging.","Maruoka Y, Nagaya T, Nakamura Y, Sato K, Ogata F, Okuyama S, Choyke PL, et. al","Mol Pharm. ","","2017","12","https://doi.org/10.1021/acs.molpharmaceut.7b00731. "
"89","Near-infrared photoimmunotherapy with galactosyl serum albumin in a model of diffuse peritoneal disseminated ovarian cancer.","Harada T, Nakamura Y, Sato K, Nagaya T, Okuyama S, Ogata F, Choyke PL, et. al","Oncotarget. ","","2016","11","https://doi.org/10.18632/oncotarget.12710."
